Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,io.seata.core.context.GlobalLockConfigHolder,1,0,0,0,3,0,3,14,1,0,3,NO
Public Class,io.seata.core.context.RootContextTest,3,0,10,2,10,0,10,101,1,50,15,NO
Public Class,io.seata.core.context.ThreadLocalContextCore,0,0,4,1,4,0,4,19,1,0,4,NO
Public Class,io.seata.core.event.GlobalTransactionEvent,1,0,7,6,7,0,7,38,1,71,7,NO
Public Class,io.seata.core.event.GuavaEventBus,2,0,5,1,5,0,5,30,1,19,7,NO
Public Class,io.seata.core.event.GuavaEventBusTest,4,0,1,0,1,0,1,29,1,0,1,NO
Public Class,io.seata.core.exception.BranchTransactionException,1,1,7,0,15,0,7,23,3,0,7,NO
Public Class,io.seata.core.exception.GlobalTransactionException,1,1,7,0,15,0,7,23,3,0,7,NO
Public Class,io.seata.core.exception.RmTransactionException,1,0,7,0,22,0,7,23,4,0,7,NO
Public Class,io.seata.core.exception.TmTransactionException,1,0,7,0,22,0,7,23,4,0,7,NO
Public Class,io.seata.core.exception.TransactionException,1,2,8,1,8,0,8,30,2,37,8,NO
Public Class,io.seata.core.lock.LocalDBLocker,0,0,3,0,8,0,3,14,2,0,3,NO
Public Class,io.seata.core.lock.RowLock,1,0,17,8,17,0,17,62,1,88,17,NO
Public Class,io.seata.core.logger.StackTraceLogger,4,0,0,0,4,1,3,37,1,0,10,NO
Public Class,io.seata.core.message.BranchCommitRequestTest,3,0,1,0,1,0,1,12,1,0,1,NO
Public Class,io.seata.core.message.BranchCommitResponseTest,5,0,1,0,1,0,1,13,1,0,1,NO
Public Class,io.seata.core.message.BranchRegisterRequestTest,2,0,1,0,1,0,1,12,1,0,1,NO
Public Class,io.seata.core.message.BranchRegisterResponseTest,3,0,1,0,1,0,1,12,1,0,1,NO
Public Class,io.seata.core.message.BranchReportRequestTest,2,0,1,0,1,0,1,15,1,0,1,NO
Public Class,io.seata.core.message.GlobalBeginRequestTest,1,0,1,0,1,0,1,8,1,0,1,NO
Public Class,io.seata.core.message.GlobalCommitResponseTest,5,0,1,0,1,0,1,10,1,0,1,NO
Public Class,io.seata.core.message.GlobalRollbackRequestTest,2,0,1,0,1,0,1,8,1,0,1,NO
Public Class,io.seata.core.message.RegisterTMRequestTest,2,0,1,0,1,0,1,11,1,0,1,NO
Public Class,io.seata.core.message.RegisterTMResponseTest,4,0,1,0,1,0,1,11,1,0,1,NO
Public Class,io.seata.core.model.BranchStatusTest,2,0,4,0,4,0,4,23,1,0,5,NO
Public Class,io.seata.core.model.BranchTypeTest,1,0,6,0,6,0,6,34,1,0,7,NO
Public Class,io.seata.core.model.GlobalLockConfig,0,0,4,2,4,0,4,16,1,50,4,NO
Public Class,io.seata.core.model.GlobalStatusTest,1,0,4,0,4,0,4,23,1,0,5,NO
