Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,net.sf.mpxj.primavera.schema.RoleTeamType,1,0,19,10,19,0,19,93,1,90,20,YES
Public Class,net.sf.mpxj.primavera.schema.RoleType,1,0,23,12,23,0,23,111,1,91,24,YES
Public Class,net.sf.mpxj.primavera.schema.ScheduleCheckOptionType,0,0,72,36,72,0,72,327,1,97,72,YES
Public Class,net.sf.mpxj.primavera.schema.ScheduleOptionsType,1,0,48,24,48,0,48,219,1,95,48,YES
Public Class,net.sf.mpxj.primavera.schema.ShiftPeriodType,1,0,12,6,12,0,12,57,1,83,12,YES
Public Class,net.sf.mpxj.primavera.schema.ShiftType,1,0,13,7,13,0,13,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.ThresholdParameterType,1,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.TimesheetAuditType,1,0,46,23,46,0,46,210,1,95,46,YES
Public Class,net.sf.mpxj.primavera.schema.TimesheetDelegateType,1,0,24,12,24,0,24,111,1,91,24,YES
Public Class,net.sf.mpxj.primavera.schema.TimesheetPeriodType,1,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.TimesheetType,1,0,27,14,27,0,27,129,1,92,28,YES
Public Class,net.sf.mpxj.primavera.schema.UDFAssignmentType,1,0,18,9,18,0,18,84,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.UDFCodeType,1,0,20,10,20,0,20,93,1,90,20,YES
Public Class,net.sf.mpxj.primavera.schema.UDFTypeType,1,0,22,11,22,0,22,102,1,90,22,YES
Public Class,net.sf.mpxj.primavera.schema.UDFValueType,1,0,50,25,50,0,50,228,1,96,50,YES
Public Class,net.sf.mpxj.primavera.schema.UnitOfMeasureType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.UpdateBaselineOptionType,0,0,82,41,82,0,82,372,1,97,82,YES
Public Class,net.sf.mpxj.primavera.schema.UserDefinedValueUpdateType,1,0,56,28,56,0,56,255,1,96,56,YES
Public Class,net.sf.mpxj.primavera.schema.UserFieldTitleType,1,0,18,9,18,0,18,84,1,88,18,YES
Public Class,net.sf.mpxj.primavera.schema.UserInterfaceViewType,1,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.UserLicenseType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.UserOBSType,1,0,20,10,20,0,20,93,1,90,20,YES
Public Class,net.sf.mpxj.primavera.schema.UserType,2,0,126,63,126,0,126,585,1,98,126,YES
Public Class,net.sf.mpxj.primavera.schema.WBSCategoryType,1,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.primavera.schema.WBSMilestoneType,1,0,32,16,32,0,32,147,1,93,32,YES
Public Class,net.sf.mpxj.primavera.schema.WBSType,2,0,347,175,347,0,347,1578,1,99,350,YES
Public Class,net.sf.mpxj.primavera.schema.WorkTimeType,1,0,4,2,4,0,4,21,1,50,4,YES
Public Class,net.sf.mpxj.ProjectProperties,23,0,251,2,253,3,247,1155,2,99,267,YES
Public Class,net.sf.mpxj.Resource,26,0,219,8,221,3,214,1107,2,98,269,YES
Public Class,net.sf.mpxj.ResourceAssignment,31,0,206,13,208,14,192,1331,2,98,307,YES
Public Class,net.sf.mpxj.ResourceAssignmentContainer,4,0,2,0,19,0,2,16,4,0,3,YES
Public Class,net.sf.mpxj.ResourceContainer,6,0,3,0,25,0,3,34,5,0,6,YES
