Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,com.aelitis.azureus.core.lws.LWSDownload,31,0,127,6,127,0,125,749,1,97,129,NO
Public Class,com.aelitis.azureus.core.lws.LWSPeerManagerAdapter,14,0,50,5,55,0,50,316,2,94,59,NO
Public Class,com.aelitis.azureus.core.lws.LWSTorrent,8,0,52,1,58,1,50,357,2,83,55,NO
Public Class,com.aelitis.azureus.core.messenger.browser.BrowserMessage,5,0,14,7,14,1,13,94,1,84,22,NO
Public Abstract Class,com.aelitis.azureus.core.messenger.browser.listeners.AbstractBrowserMessageListener,2,5,7,2,7,0,6,27,1,33,7,NO
Public Abstract Class,com.aelitis.azureus.core.messenger.ClientMessageContextImpl,6,2,9,2,9,0,9,59,1,44,14,NO
Public Class,com.aelitis.azureus.core.messenger.config.PlatformConfigMessenger,12,0,0,0,9,0,9,185,1,84,23,NO
Public Class,com.aelitis.azureus.core.messenger.config.PlatformDevicesMessenger,12,0,0,0,5,3,2,73,1,0,14,NO
Public Class,com.aelitis.azureus.core.messenger.config.PlatformMessengerConfig,4,0,3,2,3,0,0,88,1,33,5,NO
Public Class,com.aelitis.azureus.core.messenger.config.PlatformMetaSearchMessenger,6,0,0,0,9,0,6,273,1,0,28,NO
Public Class,com.aelitis.azureus.core.messenger.config.PlatformSubscriptionsMessenger,9,0,0,0,6,0,5,200,1,0,20,YES
Public Class,com.aelitis.azureus.core.messenger.config.PlatformTorrentMessenger,1,0,0,0,2,0,2,10,1,100,2,NO
Public Class,com.aelitis.azureus.core.messenger.config.PlatformVuzeActivitiesMessenger,4,0,0,0,1,0,1,52,1,0,3,NO
Public Class,com.aelitis.azureus.core.messenger.PlatformMessage,3,0,16,9,17,0,15,110,1,81,24,NO
Public Class,com.aelitis.azureus.core.messenger.PlatformMessenger,27,0,0,0,14,2,9,507,1,90,68,NO
Public Class,com.aelitis.azureus.core.messenger.PlatformMessengerException,0,0,2,0,2,0,2,17,2,0,2,NO
Public Class,com.aelitis.azureus.core.metasearch.CookieParameter,0,0,3,2,3,0,3,15,1,33,3,NO
Public Abstract Class,com.aelitis.azureus.core.metasearch.impl.DateParser,0,2,1,0,1,0,1,3,1,0,0,NO
Public Class,com.aelitis.azureus.core.metasearch.impl.DateParserClassic,1,0,4,6,6,1,4,249,2,57,53,NO
Public Class,com.aelitis.azureus.core.metasearch.impl.DateParserRegex,2,0,5,3,7,2,4,371,2,66,59,NO
Public Abstract Class,com.aelitis.azureus.core.metasearch.impl.EngineImpl,31,2,78,19,80,1,36,1105,1,93,168,YES
Public Class,com.aelitis.azureus.core.metasearch.impl.FieldRemapper,3,0,5,3,5,0,5,64,1,40,13,NO
Public Class,com.aelitis.azureus.core.metasearch.impl.FieldRemapping,0,0,4,3,4,0,4,21,1,50,4,NO
Public Class,com.aelitis.azureus.core.metasearch.impl.MetaSearchImpl,34,0,36,8,36,2,24,906,1,87,122,NO
Public Class,com.aelitis.azureus.core.metasearch.impl.MetaSearchManagerImpl,51,0,35,11,38,5,25,1463,1,93,168,YES
Public Class,com.aelitis.azureus.core.metasearch.impl.plugin.PluginEngine,10,0,16,1,97,0,14,256,2,67,37,YES
Public Class,com.aelitis.azureus.core.metasearch.impl.plugin.PluginResult,5,0,35,3,70,0,25,278,2,95,55,NO
Public Class,com.aelitis.azureus.core.metasearch.impl.SearchExecuter,4,0,2,2,2,0,2,32,1,50,2,NO
