Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
Public Class,com.logicaldoc.core.security.UserListenerManager,2,0,2,1,2,0,2,45,2,25,7,YES
Public Class,com.logicaldoc.core.sequence.HibernateSequenceDAO,4,0,9,0,61,1,8,117,2,0,23,NO
Public Class,com.logicaldoc.core.sequence.HibernateSequenceDAOTest,2,0,4,1,10,0,4,39,1,0,9,NO
Public Class,com.logicaldoc.core.sequence.Sequence,0,0,8,4,21,0,8,29,3,75,8,NO
Public Class,com.logicaldoc.core.stats.StatsCollector,19,0,20,6,60,3,18,473,1,86,103,NO
Public Abstract Class,com.logicaldoc.core.store.AbstractStorer,9,1,26,4,26,0,23,201,2,86,51,YES
Public Class,com.logicaldoc.core.store.FSStorer,1,1,15,0,41,0,15,134,2,86,30,YES
Public Class,com.logicaldoc.core.store.StorerManager,4,0,5,2,6,1,5,64,2,61,16,YES
Public Class,com.logicaldoc.core.system.SystemLoadMonitor,3,0,9,5,9,0,9,89,2,81,14,YES
Public Class,com.logicaldoc.core.SystemInfo,4,0,44,21,46,0,44,211,1,95,56,YES
Public Class,com.logicaldoc.core.SystemInfoTest,1,0,1,0,7,0,1,8,2,0,1,YES
Public Class,com.logicaldoc.core.task.SchedulerFactoryBean,1,0,4,0,4,0,4,32,1,25,8,YES
Public Abstract Class,com.logicaldoc.core.task.Task,16,6,37,17,37,2,30,263,1,91,68,NO
Public Class,com.logicaldoc.core.task.TaskManager,7,0,4,0,4,1,3,48,1,50,11,NO
Public Class,com.logicaldoc.core.task.TaskScheduling,3,0,37,13,37,0,36,186,2,89,46,NO
Public Class,com.logicaldoc.core.task.TaskTrigger,2,0,16,6,16,1,15,100,2,86,24,NO
Public Class,com.logicaldoc.core.ticket.HibernateTicketDAO,8,0,10,2,62,0,10,110,1,75,27,NO
Public Class,com.logicaldoc.core.ticket.HibernateTicketDAOTest,4,0,7,1,13,0,7,66,1,0,7,NO
Public Class,com.logicaldoc.core.ticket.Ticket,0,0,24,11,37,0,24,86,1,90,24,NO
Public Class,com.logicaldoc.core.transfer.InMemoryZipImport,14,0,2,0,9,0,2,51,1,50,9,NO
Public Class,com.logicaldoc.core.transfer.ZipExport,15,0,10,4,10,3,5,187,2,72,37,YES
Public Class,com.logicaldoc.core.transfer.ZipImport,23,1,7,6,7,0,5,124,2,67,23,NO
Public Class,com.logicaldoc.core.util.ConnectionPool,1,0,15,4,15,0,15,68,2,89,19,YES
