CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
8,0,5,2,12,2,2,74,3,70,7,NO
6,0,2,1,9,0,2,41,3,50,5,NO
2,0,3,2,3,2,1,196,2,50,8,NO
7,0,9,3,9,2,6,186,2,77,12,NO
7,0,3,2,3,2,1,64,2,66,4,NO
4,0,3,1,3,1,2,39,2,66,5,NO
4,0,2,3,2,0,2,40,2,50,5,NO
5,0,2,1,2,1,1,25,2,50,4,NO
8,0,3,1,4,0,4,95,2,62,17,NO
4,0,3,2,7,0,2,45,3,50,4,NO
3,0,1,2,1,0,1,63,2,0,1,NO
7,0,6,1,7,3,4,161,2,57,14,NO
6,0,2,3,2,1,1,34,2,16,3,NO
13,0,2,2,2,0,2,78,2,25,4,NO
2,0,2,1,6,0,1,13,3,50,3,NO
2,0,3,3,7,0,2,35,3,33,5,NO
4,0,4,6,4,0,4,99,2,54,6,NO
29,0,27,39,27,6,15,488,2,92,75,YES
5,28,4,4,4,0,4,29,2,62,5,NO
7,0,6,4,6,0,6,96,2,62,9,YES
10,0,3,4,3,0,3,72,2,75,12,NO
22,0,38,11,39,2,34,297,2,90,63,YES
5,2,4,4,4,0,3,52,2,62,10,NO
5,0,5,2,9,2,1,167,3,50,8,NO
11,0,6,8,6,1,5,154,2,70,9,YES
12,0,8,24,9,1,7,543,2,79,58,YES
6,0,3,3,3,1,2,95,2,33,7,YES
9,0,7,5,7,6,1,354,2,68,16,NO
11,0,2,2,2,0,2,69,2,0,4,YES
12,0,2,2,2,0,2,163,2,0,27,YES
12,0,4,0,4,3,1,762,2,0,23,YES
3,0,13,4,13,1,12,102,2,69,24,NO
16,4,48,3,52,3,39,730,3,93,99,YES
7,0,40,3,40,1,36,343,2,90,56,YES
6,0,0,0,5,0,5,139,1,0,33,NO
5,0,3,0,55,2,1,137,4,0,28,YES
5,0,2,0,6,0,1,70,3,0,3,NO
12,0,6,1,10,0,1,231,3,66,11,NO
10,0,2,0,2,1,1,175,2,0,26,YES
6,0,4,3,4,1,2,77,2,25,6,YES
5,1,2,5,2,0,1,66,2,9,4,YES
10,0,9,8,9,6,3,186,2,72,18,YES
7,0,4,4,8,1,2,165,3,62,12,YES
5,0,2,6,2,1,1,54,2,16,3,NO
4,0,1,0,1,0,1,71,2,0,2,NO
7,0,4,4,8,1,2,187,3,62,13,NO
2,0,3,2,7,1,2,87,3,50,10,NO
8,0,2,2,2,1,1,175,2,25,3,NO
6,0,4,6,4,0,4,80,2,50,6,NO
6,0,2,1,2,0,2,58,2,0,4,NO
7,0,2,4,2,1,1,84,2,0,4,NO
12,0,3,2,7,1,1,103,3,50,5,NO
10,0,5,6,5,3,2,138,2,60,9,NO
9,0,2,3,2,0,2,75,2,0,4,NO
12,0,5,9,5,3,2,205,2,60,10,NO
10,0,4,7,8,2,2,192,3,57,21,YES
